smiles1,pKa,pKa_type,smiles
CC(=O)Nc1ccc(OC(=O)Nc2cc(Cl)ccc2O)cc1,9.49,acidic,CC(=O)Nc1ccc(OC(=O)Nc2cc(Cl)ccc2O)cc1
CC(=O)Nc1ccc(OC(=O)Nc2ccc(C(=O)c3ccccc3)cc2O)cc1,9.49,acidic,CC(=O)Nc1ccc(OC(=O)Nc2ccc(C(=O)c3ccccc3)cc2O)cc1
CC(=O)Nc1ccc(S(=O)(=O)Nc2nccc(C)n2)cc1,5.46,acidic,CC(=O)Nc1ccc(S(=O)(=O)Nc2nccc(C)n2)cc1
CC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,5.87,acidic,CC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
CC(=O)Nc1ccc(S(=O)(=O)[N-]c2nccc(C)n2)cc1,5.46,acidic,CC(=O)Nc1ccc(S(=O)(=O)[N-]c2nccc(C)n2)cc1
CC(=O)Nc1ccc(S(N)(=O)=O)cc1,10.02,acidic,CC(=O)Nc1ccc(S(N)(=O)=O)cc1
CC(=O)Nc1ccc(S)cc1,6.08,acidic,CC(=O)Nc1ccc(S)cc1
CC(=O)Nc1ccc([S-])cc1,6.08,acidic,CC(=O)Nc1ccc([S-])cc1
CC(=O)Nc1cccc(C(=O)O)c1,4.07,acidic,CC(=O)Nc1cccc(C(=O)O)c1
CC(=O)Nc1cccc(O)c1,9.38,acidic,CC(=O)Nc1cccc(O)c1
CC(=O)Nc1cccc(OC(=O)Nc2cc(Cl)ccc2O)c1,9.38,acidic,CC(=O)Nc1cccc(OC(=O)Nc2cc(Cl)ccc2O)c1
CC(=O)Nc1ccccc1C(=O)O,3.4,acidic,CC(=O)Nc1ccccc1C(=O)O
CC(=O)Nc1nnc(-c2ccccc2)s1,8.9,acidic,CC(=O)Nc1nnc(-c2ccccc2)s1
CC(=O)O,4.76,acidic,CC(=O)O
CC(=O)OC(CC(=O)O)C[N+](C)(C)C,3.6,acidic,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
CC(=O)OCCCCCc1ccc(S(N)(=O)=O)cc1,10.3,acidic,CC(=O)OCCCCCc1ccc(S(N)(=O)=O)cc1
CC(=O)OCCCCc1ccc(S(N)(=O)=O)cc1,10.48,acidic,CC(=O)OCCCCc1ccc(S(N)(=O)=O)cc1
CC(=O)OCCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,8.05,acidic,CC(=O)OCCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1
CC(=O)OCCCc1ccc(S(N)(=O)=O)cc1,10.22,acidic,CC(=O)OCCCc1ccc(S(N)(=O)=O)cc1
CC(=O)OCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,8.65,acidic,CC(=O)OCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1
CC(=O)OO,8.19,acidic,CC(=O)OO
CC(=O)Oc1ccc(C(=O)O)cc1,4.38,acidic,CC(=O)Oc1ccc(C(=O)O)cc1
CC(=O)Oc1cccc2cccc(O)c12,9.69,acidic,CC(=O)Oc1cccc2cccc(O)c12
CC(=O)Oc1ccccc1C(=O)NCC(=O)[O-],3.77,acidic,CC(=O)Oc1ccccc1C(=O)NCC(=O)[O-]
CC(=O)Oc1ccccc1C(=O)O,3.49,acidic,CC(=O)Oc1ccccc1C(=O)O
